Taxa,NC87,NC5,NC86,NC85
Leiostomus xanthurus,11758,0,19861,0
Pomatomus saltatrix,0,0,0,0
Lagodon rhomboides,2783,0,1722,1
Brevoortia,0,0,0,0
Cynoscion nothus,0,0,0,0
Cynoscion regalis,0,0,2259,0
Synodus foetens,0,0,0,0
Xyrichtys novacula,0,0,0,0
Symphurus plagiusa,0,0,0,0
Stephanolepis,0,0,0,0
Myrophis punctatus,0,0,0,0
Symphurus,0,0,0,0
Trichiurus lepturus,0,0,1530,0
Callinectes sapidus,0,0,0,0
Ovalipes ocellatus,0,0,0,0
Hexapanopeus angustifrons,0,0,0,0
Achelous spinimanus,0,0,0,0
Penaeus,0,1,0,10
Arenaeus cribrarius,0,0,0,0
Squilla empusa,0,0,0,0
Callinectes similis,0,0,0,0
Penaeus setiferus,0,0,0,0
Achelous gibbesii,0,0,0,0
Ovalipes,0,0,0,0
Rimapenaeus constrictus,0,0,0,0
Pinnixa,0,0,0,0
Clibanarius vittatus,0,0,0,0
Pinnixulala retinens,0,0,0,0