Shark,Shannon_Diff,Simpson_Diff,Genus_Diff,SharkSpecies
Shark2,-0.077715517,-0.029472603,-1,AtlanticSharpnose
Shark23,0.075566728,0.030377327,-1,Bonnethead
Shark3,-0.551335523,-0.265812996,-3,AtlanticSharpnose
Shark36,0,0,0,Blacktip
Shark38,-0.001401595,-1.27E-06,-2,Bonnethead
Shark47,0.126840857,0.128887241,-1,Bonnethead
Shark48,-0.169054495,-0.08428986,2,Bonnethead
Shark5,-0.117824364,-0.043093624,-2,Blacknose
Shark6,0.592877367,0.400009825,2,AtlanticSharpnose
Shark61,0,0,0,AtlanticSharpnose
Shark68,0.339016271,0.148050635,2,Bonnethead
Shark7,0.693147181,0.5,1,Blacktip
Shark70,-0.089411286,-0.015218338,-2,Bonnethead
Shark73,0,0,0,Bonnethead
Shark8,0.420983307,0.356864574,1,Blacktip
Shark82,-0.558787495,-0.347387187,-1,AtlanticSharpnose
Shark85,0.304670891,0.165313983,1,Blacknose
Shark86,0.001294684,-0.018818224,-2,Blacknose
Shark87,-0.395783293,-0.202735359,-1,Blacknose
Shark88,-0.739563099,-0.412694362,-2,Blacktip
Shark93,0.006725668,0.001660853,1,Bonnethead
Shark94,-0.67432251,-0.474837545,-1,Bonnethead
Shark96,0,0,0,Bonnethead